datetime,precipitacao
2023-08-08,0.0
2023-08-09,0.0
2023-08-10,0.0
2023-08-11,0.0
2023-08-12,0.0
2023-08-13,0.0
2023-08-14,0.0
2023-08-15,0.0
2023-08-16,0.0
2023-08-17,0.0
2023-08-18,0.0
2023-08-19,0.0
2023-08-20,0.0
2023-08-21,0.0
2023-08-22,0.0
2023-08-23,0.0
2023-08-24,0.0
2023-08-25,0.0
2023-08-26,0.0
2023-08-27,0.0
2023-08-28,0.0
2023-08-29,0.0
2023-08-30,0.0
2023-08-31,0.0
2023-09-01,0.0
2023-09-02,0.0
2023-09-03,0.0
2023-09-04,0.0
2023-09-05,0.0
2023-09-06,0.0
2023-09-07,0.0
2023-09-08,0.0
2023-09-09,0.0
2023-09-10,0.0
2023-09-11,11.600000000000001
2023-09-12,0.0
2023-09-13,0.0
2023-09-14,0.0
2023-09-15,0.0
2023-09-16,5.6000000000000005
2023-09-17,0.0
2023-09-18,0.0
2023-09-19,0.0
2023-09-20,17.6
2023-09-21,0.0
2023-09-22,0.0
2023-09-23,0.0
2023-09-24,0.0
2023-09-25,0.0
2023-09-26,8.0
2023-09-27,0.0
2023-09-28,0.0
2023-09-29,0.0
2023-09-30,0.0
2023-10-01,0.0
2023-10-02,0.0
2023-10-03,0.0
2023-10-04,0.0
2023-10-05,0.0
2023-10-06,0.0
2023-10-07,0.0
2023-10-08,0.0
2023-10-09,0.0
2023-10-10,0.0
2023-10-11,0.0
2023-10-12,0.4
2023-10-13,0.0
2023-10-14,19.0
2023-10-15,1.4
2023-10-16,29.4
2023-10-17,0.0
2023-10-18,23.0
2023-10-19,0.0
2023-10-20,0.0
2023-10-21,0.0
2023-10-22,16.799999999999997
2023-10-23,0.2
2023-10-24,0.0
2023-10-25,0.0
2023-10-26,0.0
2023-10-27,0.0
2023-10-28,0.0
2023-10-29,0.0
2023-10-30,0.0
2023-10-31,0.0
2023-11-01,0.0
2023-11-02,0.0
2023-11-03,0.0
2023-11-04,0.0
2023-11-05,0.0
2023-11-06,0.0
2023-11-07,43.8
2023-11-08,3.8
2023-11-09,0.0
2023-11-10,0.0
2023-11-11,0.0
2023-11-12,0.0
2023-11-13,0.0
2023-11-14,0.0
2023-11-15,0.0
2023-11-16,0.0
2023-11-17,0.6
2023-11-18,0.0
2023-11-19,0.0
2023-11-20,4.0
2023-11-21,0.0
2023-11-22,0.4
2023-11-23,49.0
2023-11-24,0.0
2023-11-25,7.0
2023-11-26,17.599999999999998
2023-11-27,4.2
2023-11-28,0.0
2023-11-29,4.4
2023-11-30,0.0
2023-12-01,0.0
2023-12-02,0.0
2023-12-03,25.2
2023-12-04,0.0
2023-12-05,5.2
2023-12-06,0.0
2023-12-07,27.8
2023-12-08,0.2
2023-12-09,6.8
2023-12-10,2.2
2023-12-11,2.4000000000000004
2023-12-12,0.0
2023-12-13,0.0
2023-12-14,0.0
2023-12-15,13.799999999999999
2023-12-16,36.199999999999996
2023-12-17,48.800000000000004
2023-12-18,1.0
2023-12-19,13.2
2023-12-20,4.2
2023-12-21,5.4
2023-12-22,1.8
2023-12-23,12.0
2023-12-24,0.0
2023-12-25,47.8
2023-12-26,0.0
2023-12-27,2.0
2023-12-28,8.399999999999999
2023-12-29,35.8
2023-12-30,7.8
2023-12-31,13.0
2024-01-01,0.0
2024-01-02,0.0
2024-01-03,0.0
2024-01-04,3.8
2024-01-05,0.0
2024-01-06,0.2
2024-01-07,0.0
2024-01-08,2.6
2024-01-09,9.200000000000001
2024-01-10,1.0
2024-01-11,0.6000000000000001
2024-01-12,4.2
2024-01-13,8.6
2024-01-14,68.8
2024-01-15,0.4
2024-01-16,0.6000000000000001
2024-01-17,0.8
2024-01-18,9.4
2024-01-19,0.0
2024-01-20,0.4
2024-01-21,8.0
2024-01-22,0.0
2024-01-23,0.0
2024-01-24,0.2
2024-01-25,8.4
2024-01-26,7.199999999999999
2024-01-27,1.2
2024-01-28,1.0
2024-01-29,0.4
2024-01-30,0.0
2024-01-31,0.0
2024-02-01,46.2
2024-02-02,0.0
2024-02-03,2.8
2024-02-04,0.0
2024-02-05,13.799999999999999
2024-02-06,0.0
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,17.400000000000002
2024-02-10,35.199999999999996
2024-02-11,5.6
2024-02-12,17.6
2024-02-13,47.8
2024-02-14,25.8
2024-02-15,1.8
2024-02-16,0.0
2024-02-17,9.2
2024-02-18,24.6
2024-02-19,0.2
2024-02-20,0.0
2024-02-21,0.0
2024-02-22,0.0
2024-02-23,0.0
2024-02-24,9.8
2024-02-25,22.599999999999998
2024-02-26,17.0
2024-02-27,5.4
2024-02-28,0.0
2024-02-29,0.0
2024-03-01,0.0
2024-03-02,65.80000000000001
2024-03-03,0.2
2024-03-04,18.6
2024-03-05,0.0
2024-03-06,0.0
2024-03-07,0.0
2024-03-08,2.8
2024-03-09,9.0
2024-03-10,0.0
2024-03-11,30.2
2024-03-12,0.0
2024-03-13,36.2
2024-03-14,6.4
2024-03-15,20.2
2024-03-16,10.2
2024-03-17,3.0
2024-03-18,29.999999999999996
2024-03-19,3.4
2024-03-20,6.6
2024-03-21,27.2
2024-03-22,1.8
2024-03-23,3.0
2024-03-24,94.8
2024-03-25,11.2
2024-03-26,0.0
2024-03-27,0.0
2024-03-28,39.199999999999996
2024-03-29,0.0
2024-03-30,0.0
2024-03-31,0.0
2024-04-01,0.4
2024-04-02,5.2
2024-04-03,0.0
2024-04-04,25.0
2024-04-05,4.6
2024-04-06,0.2
2024-04-07,20.6
2024-04-08,0.0
2024-04-09,3.6
2024-04-10,0.0
2024-04-11,0.0
2024-04-12,85.2
2024-04-13,6.8
2024-04-14,0.0
2024-04-15,0.0
2024-04-16,3.4000000000000004
2024-04-17,3.0
2024-04-18,16.8
2024-04-19,0.0
2024-04-20,12.0
2024-04-21,12.8
2024-04-22,0.0
2024-04-23,1.4
2024-04-24,13.200000000000001
2024-04-25,0.0
2024-04-26,0.0
2024-04-27,0.0
2024-04-28,0.0
2024-04-29,4.0
2024-04-30,0.4
2024-05-01,0.6
2024-05-02,0.0
2024-05-03,0.0
2024-05-04,0.0
2024-05-05,1.6
2024-05-06,50.6
2024-05-07,55.400000000000006
2024-05-08,0.0
2024-05-09,0.0
2024-05-10,25.400000000000002
2024-05-11,9.4
2024-05-12,1.0
2024-05-13,0.2
2024-05-14,0.0
2024-05-15,2.4
2024-05-16,0.2
2024-05-17,48.0
2024-05-18,16.599999999999998
2024-05-19,38.199999999999996
2024-05-20,18.200000000000003
2024-05-21,0.0
2024-05-22,0.0
2024-05-23,0.0
2024-05-24,2.2
2024-05-25,3.2
2024-05-26,6.0
2024-05-27,66.0
2024-05-28,5.2
2024-05-29,0.4
2024-05-30,2.4
2024-05-31,34.0
2024-06-01,24.8
2024-06-02,0.0
2024-06-03,8.6
2024-06-04,0.0
2024-06-05,6.6000000000000005
2024-06-06,1.4
2024-06-07,1.2
2024-06-08,0.0
2024-06-09,0.8
2024-06-10,20.799999999999997
2024-06-11,0.0
2024-06-12,6.0
2024-06-13,29.0
2024-06-14,0.0
2024-06-15,0.0
2024-06-16,0.0
2024-06-17,0.0
2024-06-18,15.999999999999998
2024-06-19,0.0
2024-06-20,0.0
2024-06-21,0.0
2024-06-22,0.0
2024-06-23,0.0
2024-06-24,0.0
2024-06-25,0.0
2024-06-26,0.0
2024-06-27,0.0
2024-06-28,0.0
2024-06-29,0.0
2024-06-30,0.0
2024-07-01,0.0
2024-07-02,0.0
2024-07-03,0.2
2024-07-04,0.0
2024-07-05,0.0
2024-07-06,0.0
2024-07-07,0.0
2024-07-08,0.0
2024-07-09,0.0
2024-07-10,24.0
2024-07-11,0.0
2024-07-12,0.0
2024-07-13,17.599999999999998
2024-07-14,0.8
2024-07-15,0.0
2024-07-16,16.8
2024-07-17,0.0
2024-07-18,0.0
2024-07-19,0.0
2024-07-20,0.0
2024-07-21,0.0
2024-07-22,0.0
2024-07-23,0.0
2024-07-24,0.0
